Municipality,Type,County,Population,Area,Incorporated
Medway,Town,Penobscot,"1,187",41.0,1875
Stetson,Town,Penobscot,"1,186",35.0,1831
Bradford,Town,Penobscot,"1,184",41.2,1820
Fayette,Town,Kennebec,"1,160",29.2,1795
Rome,Town,Kennebec,"1,148",25.4,1804
Addison,Town,Washington,"1,148",42.4,1797
Friendship,Town,Knox,"1,142",14.1,1807
Brownville,Town,Piscataquis,"1,139",44.0,1824
Penobscot,Town,Hancock,"1,136",39.9,1787
Wayne,Town,Kennebec,"1,129",19.3,1798
Steuben,Town,Washington,"1,129",43.0,1795
South Bristol,Town,Lincoln,"1,127",13.1,1915
Canton,Town,Oxford,"1,125",29.1,1821
Strong,Town,Franklin,"1,122",28.4,1801
Cherryfield,Town,Washington,"1,107",44.4,1816
Lovell,Town,Oxford,"1,104",43.2,1800
Burnham,Town,Waldo,"1,096",38.9,1824
Howland,Town,Penobscot,"1,094",34.9,1826
Georgetown,Town,Sagadahoc,"1,058",18.6,1716
Stonington,Town,Hancock,"1,056",9.8,1897
Frenchville,Town,Aroostook,"1,052",28.7,1869
Garland,Town,Penobscot,"1,026",37.7,1811
Montville,Town,Waldo,"1,020",42.7,1807
Troy,Town,Waldo,"1,018",34.9,1812
